No|Pengguna|PLK|DPB|Tgl Masuk|Divisi|Kode Proyek|Product|Nama Proyek|Description|Account|Unit|Cur|Unit price|Order|Curr. amount|Total (Rupiah)|Tgl Pengajuan|Tgl Kebutuhan|SPPH|PO|Jenis Order|Supplier|Order|Cur|Harga|Total|Tanggal PO|Tanggal Kirim|ETA|Barang Tiba|Negosiasi|Efisiensi|BA|Jml Brg|delivery time Amd|Status|Keterangan
1|AHDIAT|0|110003415||Unit Bisnis ELTRANS|ASALES|N13104457|After Sales Project|BRG JD ELEKTRIK; HP Z820 WORKSTATION CUSTOM CONFIG	|3123|LOT|USD|9700|1|9700|1,227826E+08|05/01/2015 0:00:00|27/02/2015 0:00:00|150000878|0|||1||||||TIDAK||TIDAK||||||
2|IIS|0|110003414||Unit Bisnis ICT|16514JI115|N11121444|TITO CIDENG|KABEL/KAWAT; KABEL FEEDER AERIAL AC-OF-SM-96D|2131|MTR|IDR|21000|4000|8,4E+07|8,4E+07|05/01/2015 0:00:00|12/01/2015 0:00:00|150000875|230000841|SPK|JEMBO CABLE COMPANY, PT|4000|IDR|21000|84000000|06/01/2015 0:00:00|16/01/2015 0:00:00|TIDAK|16/06/2015 0:00:00|TIDAK|0|310001663|4000|||
3|DWI|0|110003413||Divisi Produksi|35012PS107|10101396|PD 12XS 701 - AXLE COUNTER ALTPRO 2012|RESISTOR; "RESISTOR, MRS25 1% 47K, PHOENIX PASSIVE COMPONENTS, PN: MRS25 47K 1%, #9468498, FARNELL"|2134|BU|IDR|1000|10|10000|10000|05/01/2015 0:00:00|14/02/2015 0:00:00|130002306|210002172|PO|element14 Pte Ltd|10|SGD|0|0|05/01/2015 0:00:00|14/01/2015 0:00:00|TIDAK|20/02/2015 0:00:00|TIDAK|10000|310001694|10|||
4|DWI|0|110003413||Divisi Produksi|35012PS107|10101397|PD 12XS 701 - AXLE COUNTER ALTPRO 2012|RESISTOR; "RESISTOR, MRS25 1% 56K, PHOENIX PASSIVE COMPONENTS, PN: MRS25 56K 1%, #9469060, FARNELL"|2134|BU|IDR|1000|10|10000|10000|05/01/2015 0:00:00|14/02/2015 0:00:00|130002306|210002172|PO|element14 Pte Ltd|10|SGD|0|0|05/01/2015 0:00:00|14/01/2015 0:00:00|TIDAK|20/02/2015 0:00:00|TIDAK|10000|310001694|10|||
5|DWI|0|110003413||Divisi Produksi|35012PS107|10101398|PD 12XS 701 - AXLE COUNTER ALTPRO 2012|RESISTOR; "RESISTOR, MRS25 1% 62K, PHOENIX PASSIVE COMPONENTS, PN: MRS25 62K 1%, #9469486, FARNELL"|2134|BU|IDR|1000|10|10000|10000|05/01/2015 0:00:00|14/02/2015 0:00:00|130002306|210002172|PO|element14 Pte Ltd|10|SGD|0|0|05/01/2015 0:00:00|14/01/2015 0:00:00|TIDAK|20/02/2015 0:00:00|TIDAK|10000|310001694|10|||
6|DWI|0|110003413||Divisi Produksi|35012PS107|10101400|PD 12XS 701 - AXLE COUNTER ALTPRO 2012|RESISTOR; "RESISTOR, MRS25 1% 120K, PHOENIX PASSIVE COMPONENTS, PN: MRS25 120K 1%, #9464220, FARNELL"|2134|BU|IDR|1000|10|10000|10000|05/01/2015 0:00:00|14/02/2015 0:00:00|130002306|210002172|PO|element14 Pte Ltd|10|SGD|0|0|05/01/2015 0:00:00|14/01/2015 0:00:00|TIDAK|20/02/2015 0:00:00|TIDAK|10000|310001694|10|||
7|DWI|0|110003413||Divisi Produksi|35012PS107|10101401|PD 12XS 701 - AXLE COUNTER ALTPRO 2012|RESISTOR; "RESISTOR, MRS25 1% 180K, PHOENIX PASSIVE COMPONENTS, PN: MRS25 180K 1%, #9464972, FARNELL"|2134|BU|IDR|1000|10|10000|10000|05/01/2015 0:00:00|14/02/2015 0:00:00|130002306|210002172|PO|element14 Pte Ltd|10|SGD|0|0|05/01/2015 0:00:00|14/01/2015 0:00:00|TIDAK|20/02/2015 0:00:00|TIDAK|10000|310001694|10|||
8|DWI|0|110003413||Divisi Produksi|35012PS107|10101402|PD 12XS 701 - AXLE COUNTER ALTPRO 2012|RESISTOR; "RESISTOR, MRS25 1% 200K, PHOENIX PASSIVE COMPONENTS, PN: MRS25 200K 1%, #9465871, FARNELL"|2134|BU|IDR|1000|10|10000|10000|05/01/2015 0:00:00|14/02/2015 0:00:00|130002306|210002172|PO|element14 Pte Ltd|10|SGD|0|0|05/01/2015 0:00:00|14/01/2015 0:00:00|TIDAK|20/02/2015 0:00:00|TIDAK|10000|310001694|10|||
9|DWI|0|110003413||Divisi Produksi|35012PS107|10101403|PD 12XS 701 - AXLE COUNTER ALTPRO 2012|RESISTOR; "RESISTOR, MRS25 1% 220K, PHOENIX PASSIVE COMPONENTS, PN: MRS25 220K 1%, #9466037, FARNELL"|2134|BU|IDR|1000|10|10000|10000|05/01/2015 0:00:00|14/02/2015 0:00:00|130002306|210002172|PO|element14 Pte Ltd|10|SGD|0|0|05/01/2015 0:00:00|14/01/2015 0:00:00|TIDAK|20/02/2015 0:00:00|TIDAK|10000|310001694|10|||
10|DWI|0|110003413||Divisi Produksi|35012PS107|10101670|PD 12XS 701 - AXLE COUNTER ALTPRO 2012|RESISTOR; RES, THIN FILM, 130K, 1%, 0.6W, AXIAL, MRS25000C1303FCT00, VISHAY BC COMPONENTS, #9464387|2134|BU|IDR|2500|12|30000|30000|05/01/2015 0:00:00|14/02/2015 0:00:00|130002306|210002172|PO|element14 Pte Ltd|12|SGD|0|1|05/01/2015 0:00:00|14/01/2015 0:00:00|TIDAK|20/02/2015 0:00:00|TIDAK|30000|310001694|12|||
